8
8
100
['dA_v2', 'dB_v3', 'dB_v4', 'dB_v2', 'dB_v1', 'dA_v1', 'dC_v1']
['dD_v2', 'dC_v2', 'dC_v4', 'dC_v3', 'dA_v2', 'dA_v1', 'dC_v1']
['dC_v3', 'dA_v2', 'dA_v1', 'dB_v1', 'dB_v2', 'dB_v4', 'dD_v1', 'dD_v2', 'dC_v2', 'dC_v1']
['dA_v1', 'dA_v2', 'dB_v3', 'dB_v4', 'dB_v2', 'dD_v1', 'dD_v2', 'dC_v2', 'dC_v4', 'dC_v3', 'dC_v1']
185 ['0.9980', '0.0026', '0.0010', '0.9969']
186 ['0.0003', '0.0002', '0.0003', '0.0002']
187 ['0.0001', '0.0000', '0.0001', '0.0000']
188 ['0.9981', '0.9982', '0.0003', '0.0027']
189 ['0.0004', '0.0001', '0.0001', '0.0001']
190 ['0.9981', '0.0026', '0.0011', '0.9972']
191 ['0.0003', '0.0001', '0.0001', '0.0002']
192 ['0.0002', '0.0000', '0.0000', '0.0000']
193 ['0.0001', '0.0000', '0.0001', '0.0000']
194 ['0.9984', '0.9982', '0.0002', '0.0024']
195 ['0.0004', '0.0001', '0.0001', '0.0000']
196 ['0.0002', '0.0000', '0.0001', '0.0000']
197 ['0.0000', '0.0007', '0.9976', '0.0026']
198 ['0.0046', '0.9950', '0.9990', '0.9964']
199 ['0.0002', '0.0003', '0.0003', '0.0001']
200 ['0.0001', '0.0000', '0.0001', '0.0000']
201 ['0.0001', '0.0000', '0.0001', '0.0000']
202 ['0.0001', '0.0000', '0.0001', '0.0000']
203 ['0.0001', '0.0000', '0.0002', '0.0000']
204 ['0.0002', '0.0000', '0.0001', '0.0000']
205 ['0.0001', '0.0000', '0.0001', '0.0000']
206 ['0.0001', '0.0000', '0.0001', '0.0000']
207 ['0.0001', '0.0000', '0.0001', '0.0000']
208 ['0.9982', '0.9983', '0.0003', '0.0022']
209 ['0.9976', '0.0034', '0.0011', '0.9970']
210 ['0.0003', '0.0001', '0.0002', '0.0001']
211 ['0.0001', '0.0000', '0.0001', '0.0000']
212 ['0.0001', '0.0000', '0.0001', '0.0000']
213 ['0.9978', '0.0027', '0.0009', '0.9971']
214 ['0.0059', '0.9949', '0.9980', '0.9963']
215 ['0.0003', '0.0002', '0.0001', '0.0001']
216 ['0.0001', '0.0000', '0.0001', '0.0000']
217 ['0.0001', '0.0000', '0.0001', '0.0000']
218 ['0.0001', '0.0000', '0.0001', '0.0000']
219 ['0.0001', '0.0000', '0.0001', '0.0000']
220 ['0.0001', '0.0000', '0.0001', '0.0000']
221 ['0.0001', '0.0000', '0.0001', '0.0000']
222 ['0.0001', '0.0001', '0.0008', '0.0000']
223 ['0.0001', '0.0000', '0.0001', '0.0000']
224 ['0.0001', '0.0000', '0.0001', '0.0000']
225 ['0.0001', '0.0000', '0.0001', '0.0000']
226 ['0.0001', '0.0000', '0.0001', '0.0000']
227 ['0.0001', '0.0000', '0.0001', '0.0000']
228 ['0.0001', '0.0000', '0.0002', '0.0000']
229 ['0.0001', '0.0000', '0.0001', '0.0000']
230 ['0.0000', '0.0007', '0.9974', '0.0019']
231 ['0.0001', '0.0000', '0.0002', '0.0000']
232 ['0.0001', '0.0000', '0.0001', '0.0000']
233 ['0.0001', '0.0000', '0.0001', '0.0000']
234 ['0.9982', '0.9984', '0.0003', '0.0025']
235 ['0.0003', '0.0001', '0.0002', '0.0001']
236 ['0.9985', '0.9985', '0.0004', '0.0032']
237 ['0.0004', '0.0001', '0.0001', '0.0000']
